Country Name,Country Code,Year,Year Code,Age dependency ratio (% of working-age population) [SP.POP.DPND],"Age dependency ratio, old [SP.POP.DPND.OL]","Population, female (% of total population) [SP.POP.TOTL.FE.ZS]","Age dependency ratio, young [SP.POP.DPND.YG]",Rural population [SP.RUR.TOTL],"Population, male (% of total population) [SP.POP.TOTL.MA.ZS]",Sex ratio at birth (male births per female births) [SP.POP.BRTH.MF],Urban population (% of total population) [SP.URB.TOTL.IN.ZS],Net migration [SM.POP.NETM],"Population, male [SP.POP.TOTL.MA.IN]","Population, female [SP.POP.TOTL.FE.IN]","Population, total [SP.POP.TOTL]",Rural population (% of total population) [SP.RUR.TOTL.ZS],Urban population [SP.URB.TOTL],Population growth (annual %) [SP.POP.GROW]
Chile,CHL,2002,YR2002,51.8673675199797,12.6942844985895,50.3355913389946,39.1730830213901,2102026,49.6644086610054,1.045,86.606,7828,7794228,7899562,15693790,13.394,13591764,1.08792963607244
Chile,CHL,2003,YR2003,51.0078098071067,12.8943609802917,50.3450445396943,38.113448826815,2114813,49.6549491547824,1.046,86.665,9266,7874834,7984277,15859112,13.335,13744299,1.04791320216262
Chile,CHL,2004,YR2004,50.0616061441261,13.0745925244467,50.3541835461506,36.9870136196795,2126385,49.6458164538494,1.048,86.725,11515,7952250,8065716,16017966,13.275,13891581,0.996674255969576
Chile,CHL,2005,YR2005,49.0782258087557,13.2489239616129,50.3631614872815,35.8293018471428,2137891,49.6368385127185,1.05,86.783,14336,8028913,8146398,16175311,13.217,14037420,0.97751001174206
Chile,CHL,2006,YR2006,48.1184702859473,13.4259390238418,50.3673465639602,34.6925312621055,2149303,49.6326534360398,1.046,86.842,17348,8107283,8227292,16334575,13.158,14185272,0.979795955667856
Chile,CHL,2007,YR2007,47.2550833707076,13.5974006821629,50.3684329665392,33.6576826885446,2160915,49.6315670334608,1.045,86.9,20188,8186994,8308544,16495538,13.1,14334623,0.980589313160657
Chile,CHL,2008,YR2008,46.5423997651306,13.7867762982047,50.3708678146011,32.7556234669259,2172821,49.6291261835246,1.043,86.959,22516,8268938,8392523,16661462,13.041,14488641,1.00084678976019
Chile,CHL,2009,YR2009,45.9708879343902,14.0157562523321,50.3738063867727,31.9551316820581,2185486,49.6261936132273,1.042,87.017,24330,8353799,8479648,16833447,12.983,14647961,1.02694120751704
Chile,CHL,2010,YR2010,45.5012235797016,14.2477832110609,50.3769606523391,31.2534403686407,2197958,49.623045228574,1.041,87.074,26064,8437983,8566180,17004162,12.926,14806204,1.0090337555584
Chile,CHL,2011,YR2011,45.1448949545386,14.5060268660803,50.3783866059789,30.6388680884583,2209895,49.6216192169213,1.043,87.132,28128,8521805,8651769,17173573,12.868,14963678,0.991361115471139
Chile,CHL,2012,YR2012,44.9121110846032,14.8115478317837,50.3788569229752,30.1005632528195,2221654,49.6211373106011,1.041,87.189,30925,8605184,8736586,17341771,12.811,15120117,0.974635115583974
Chile,CHL,2013,YR2013,44.8159555933352,15.1685884842461,50.381506488463,29.6473671090891,2233216,49.6184878004903,1.041,87.246,36566,8688160,8821764,17509925,12.754,15276709,0.964976309009339
Chile,CHL,2014,YR2014,44.8374447609443,15.5659226667551,50.3844890866274,29.2715220941892,2245732,49.6155109133726,1.042,87.303,52709,8775549,8911559,17687108,12.697,15441376,1.00681495918115
Chile,CHL,2015,YR2015,44.9505954694615,15.9977139008198,50.3867572491383,28.9528815686417,2258784,49.6132427508617,1.04,87.36,55709,8865948,9004176,17870124,12.64,15611340,1.02942555374852
Chile,CHL,2016,YR2016,45.0521863331588,16.4441151881268,50.387109977898,28.6080711450321,2274590,49.612890022102,1.037,87.422,126525,8971935,9111944,18083879,12.578,15809289,1.18906102612278
Chile,CHL,2017,YR2017,44.9901585338015,16.8363506567766,50.3805983446622,28.1538078770249,2297909,49.6194070994177,1.039,87.49,214697,9114379,9254199,18368577,12.51,16070668,1.56205545588869
Chile,CHL,2018,YR2018,44.8653027558526,17.1922339007482,50.371227899441,27.6730688551044,2325712,49.628772100559,1.04,87.564,237358,9281300,9420150,18701450,12.436,16375738,1.79596279901203
Chile,CHL,2019,YR2019,44.826518391944,17.5608044417912,50.364187896889,27.2657139501528,2352709,49.6358173553539,1.041,87.643,230162,9450404,9589082,19039485,12.357,16686776,1.7913919716665
Chile,CHL,2020,YR2020,44.9578949273754,17.968371005621,50.3637272241412,26.9895239217544,2368728,49.6362727758588,1.041,87.727,98439,9579957,9720358,19300315,12.273,16931587,1.36064363430941
Chile,CHL,2021,YR2021,45.2181708657836,18.4153198993577,50.3671591054596,26.8028509664259,2374855,49.6328460245386,1.042,87.817,113709,9675022,9818163,19493184,12.183,17118329,0.994344898418259
